"","observed","predicted"
"1",4.7,8.49136988213731
"2",20.5,11.1686273155544
"3",4.1,11.030032302935
"4",0,0.3480865397259
"5",0,2.46752742871907
"6",0,-0.592894474944714
"7",0,0.565897491731409
"8",7,21.0136523596441
"9",27.1,34.6166931774887
"10",38,33.1665873866714
"11",0,-3.29046094663179
"12",36.1,35.2897991661041
"13",0,1.20991218542069
"14",0,2.21806300097319
"15",0,6.56545842012322
"16",56.5,26.6548144089861
"17",40.4,45.6974357412491
"18",0,0.298829404046371
"19",0,0.941521774216314
"20",35,29.8957277609469
"21",22.7,13.9482769206087
"22",0,1.55760493628311
"23",0,1.09120548309748
"24",42.1,49.8462323349138
